"user_id","num_sessions","num_trips","first_session_start","first_session_end","last_session_start","last_session_end","last_departure_time","last_check_in_time","total_flight_discount_amount","total_hotel_discount_amount"
"23557","8","2","2023-01-04 19:30:00","2023-01-04 19:33:53","2023-07-14 12:36:00","2023-07-14 12:37:09","","2023-07-25 11:00:00","","0.35"
"94883","8","2","2023-01-10 12:20:00","2023-01-10 12:20:14","2023-05-28 17:28:00","2023-05-28 17:28:23","2023-04-16 10:00:00","2023-04-16 13:55:13.98","","0.1"
"101486","8","2","2023-01-21 08:02:00","2023-01-21 08:03:57","2023-07-18 09:35:00","2023-07-18 09:35:22","2023-06-10 10:00:00","2023-06-24 11:00:00","0.15",""
"101961","8","5","2023-01-19 03:38:00","2023-01-19 03:39:21","2023-06-22 13:27:00","2023-06-22 13:30:01","2023-06-27 11:00:00","2023-06-27 14:27:47.97","0.3","0.1"
"106907","8","1","2023-01-10 17:24:00","2023-01-10 17:24:59","2023-07-27 09:43:48","2023-07-27 11:05:14.320529","2024-01-16 15:00:00","2024-01-17 09:45:10.44","",""
"118043","8","5","2023-02-05 08:34:00","2023-02-05 08:36:53","2023-07-15 02:05:00","2023-07-15 02:07:00","2023-07-01 14:00:00","2023-07-19 11:00:00","0.4","0.35"
"120851","8","1","2023-01-04 19:49:00","2023-01-04 19:49:37","2023-06-12 07:31:00","2023-06-12 07:31:16","2023-04-15 07:00:00","2023-04-15 11:48:44.235","0.45",""
"125845","9","3","2023-01-08 14:28:00","2023-01-08 14:28:54","2023-07-20 13:15:00","2023-07-20 13:15:22","2023-06-13 15:00:00","2023-06-13 20:49:39.9","0.15","0.05"
"133058","8","1","2023-01-07 18:40:00","2023-01-07 18:42:14","2023-07-16 20:27:00","2023-07-16 20:27:39","2023-04-02 14:00:00","","","0.05"
"149058","8","5","2023-01-04 13:30:00","2023-01-04 13:31:57","2023-06-19 16:57:00","2023-06-19 16:57:59","2023-04-20 09:00:00","2023-04-20 12:22:12.315","0.05",""
"152583","8","1","2023-02-01 20:58:00","2023-02-01 20:58:47","2023-06-05 21:34:00","2023-06-05 21:37:35","2023-06-14 14:00:00","2023-06-14 18:43:24.555","0.15","0.15"
"153982","8","3","2023-01-09 19:34:00","2023-01-09 19:35:08","2023-07-20 20:37:00","2023-07-20 20:45:14","2023-07-31 11:00:00","2023-07-31 13:42:34.02","","0.15"
"160754","8","1","2023-02-13 21:33:00","2023-02-13 21:33:39","2023-06-26 19:58:00","2023-06-26 20:00:44","2023-07-08 14:00:00","2023-07-08 16:39:27.54","",""
"164522","8","1","2023-01-17 21:39:00","2023-01-17 21:39:52","2023-07-14 21:10:00","2023-07-14 21:10:16","2023-02-17 15:00:00","2023-02-17 19:13:57.315","0.10","0.05"
"167852","8","0","2023-01-05 04:16:00","2023-01-05 04:16:37","2023-04-25 17:14:00","2023-04-25 17:14:14","","","0.1","0.2"
"171470","8","2","2023-03-09 22:17:14","2023-03-10 00:17:14","2023-07-10 02:46:09","2023-07-10 04:46:09","2024-03-28 11:00:00","","0.1",""
"174997","8","3","2023-01-05 20:17:50","2023-01-05 22:17:50","2023-07-15 05:27:00","2023-07-15 05:27:36","2023-03-14 09:00:00","2023-03-14 11:16:29.91","","0.25"
"175032","9","3","2023-01-20 21:00:00","2023-01-20 21:00:08","2023-07-20 21:09:00","2023-07-20 21:13:38","2023-05-13 07:00:00","2023-07-31 11:00:00","0.3","0.20"
"181157","8","3","2023-01-11 07:36:00","2023-01-11 07:41:15","2023-07-07 10:41:00","2023-07-07 10:42:16","2023-04-03 11:00:00","2023-04-03 15:47:25.755","0.35","0.15"
"182191","8","1","2023-01-05 14:26:34","2023-01-05 15:46:54.303752","2023-07-04 16:43:00","2023-07-04 16:43:15","2023-01-24 07:00:00","","","0.1"
"187212","8","3","2023-01-05 22:12:00","2023-01-05 22:12:21","2023-06-09 18:13:00","2023-06-09 18:13:58","2023-03-11 13:00:00","2023-03-11 18:07:24.15","0.3999999999999999","0.1"
"189676","8","2","2023-01-20 18:11:00","2023-01-20 18:11:37","2023-05-03 19:49:00","2023-05-03 19:52:26","2023-05-08 08:00:00","2023-05-08 12:51:20.475","0.15",""
"190866","9","5","2023-01-09 20:35:00","2023-01-09 20:37:27","2023-07-03 11:02:00","2023-07-03 11:05:27","2023-07-12 12:00:00","2023-07-12 18:37:59.52","","0.05"
"195192","8","1","2023-01-10 21:41:00","2023-01-10 21:43:33","2023-05-29 17:03:00","2023-05-29 17:05:14","2023-05-01 07:00:00","2023-05-01 10:28:04.89","0.1","0.1"
"204943","8","6","2023-01-07 07:55:00","2023-01-07 07:55:22","2023-07-28 12:51:08","2023-07-28 14:51:08","2023-12-30 07:00:00","2023-12-30 12:18:09.99","0.3",""
"204997","8","4","2023-01-05 09:11:24","2023-01-05 09:53:33.423602","2023-07-10 17:00:00","2023-07-10 17:02:02","2023-07-19 16:00:00","2023-07-19 18:56:52.89","0.25","0.2"
"205044","9","3","2023-01-27 11:47:00","2023-01-27 11:51:55","2023-06-07 04:06:00","2023-06-07 04:06:08","2023-05-11 07:00:00","2023-05-11 09:41:59.82","0.05",""
"206011","8","4","2023-01-10 15:49:00","2023-01-10 15:49:39","2023-07-08 14:36:00","2023-07-08 14:36:54","2023-05-09 08:00:00","2023-05-09 12:58:05.925","0.05","0.40"
"216796","8","1","2023-01-13 13:22:00","2023-01-13 13:23:23","2023-03-13 03:38:26","2023-03-13 04:35:24.627536","2023-09-22 07:00:00","2023-09-22 17:48:06.66","0.50","0.1"
"217114","9","0","2023-01-06 19:36:00","2023-01-06 19:36:39","2023-06-26 16:41:00","2023-06-26 16:42:46","","","0.05","0.45"
"217136","8","2","2023-01-12 16:14:00","2023-01-12 16:14:32","2023-05-14 16:52:00","2023-05-14 16:53:18","2023-02-01 14:00:00","2023-03-30 11:00:00","0.35",""
"220725","9","4","2023-01-07 19:45:00","2023-01-07 19:45:43","2023-06-07 21:27:00","2023-06-07 21:30:06","2023-06-12 10:00:00","2023-06-12 14:54:27.63","0.15","0.05"
"224996","8","2","2023-02-14 09:40:00","2023-02-14 09:41:34","2023-05-11 21:45:00","2023-05-11 21:47:42","2023-05-20 15:00:00","2023-05-20 18:12:04.095","","0.1"
"226367","8","3","2023-01-07 21:27:00","2023-01-07 21:28:31","2023-06-26 22:55:00","2023-06-26 22:58:04","2023-07-05 14:00:00","2023-07-05 17:09:31.77","0.05",""
"228195","9","0","2023-01-28 04:02:00","2023-01-28 04:05:26","2023-06-01 17:46:00","2023-06-01 17:46:31","","","0.2",""
"228872","8","2","2023-01-09 23:03:00","2023-01-09 23:04:20","2023-07-16 06:05:00","2023-07-16 06:07:25","2023-05-30 07:00:00","2023-07-23 11:00:00","0.35",""
"229009","8","3","2023-02-15 19:09:00","2023-02-15 19:09:36","2023-07-08 16:23:05","2023-07-08 16:42:55.283434","2024-05-10 14:00:00","2023-05-27 14:18:53.46","",""
